2016-07-01 16:22:14,797 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:22:14,800 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:22:14,803 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:22:33,887 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:22:33,891 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:22:33,896 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:22:33,900 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:22:38,428 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:22:38,436 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:22:38,455 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:22:38,460 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:23:08,127 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:08,134 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:23:08,139 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:08,141 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:23:09,423 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:09,424 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:23:09,426 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:09,428 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:23:48,045 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:48,047 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:23:48,049 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:48,052 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:23:54,201 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:54,202 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:23:54,204 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:54,205 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:23:56,521 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:56,523 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:23:56,524 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:23:56,526 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:25:32,524 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:25:32,527 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:25:32,532 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:25:32,535 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:27:02,543 [Worker-163] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:02,544 [Worker-163] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:27:02,547 [Worker-163] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:02,552 [Worker-163] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:27:04,317 [Worker-163] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:04,319 [Worker-163] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:27:04,323 [Worker-163] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:04,326 [Worker-163] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:27:12,355 [Worker-162] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:12,357 [Worker-162] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:27:12,362 [Worker-162] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:27:12,364 [Worker-162] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
